Player Name,Team,Pos,Games,G,A,Pts,PIM,SOG,Hits,BS
Micheal Haley,FA,RW,43,2,4,6,75,34,76,16
Taylor Hall,NJ,LW,33,11,26,37,16,113,22,29
Dan Hamhuis,NSH,D,57,0,5,5,28,39,38,61
Dougie Hamilton,CAR,D,82,18,21,39,54,259,160,91
Travis Hamonic,CGY,D,69,7,12,19,33,128,44,167
Noah Hanifin,CGY,D,80,5,28,33,12,116,87,83
Joel Hanley,DAL,D,16,0,0,0,2,9,16,16
Markus Hannikainen,CLS,RW,44,4,3,7,2,52,63,8
Martin Hanzal,DAL,C,7,1,1,2,4,14,14,4
Ben Harpur,TOR,D,51,1,4,5,56,50,89,69
Scott Harrington,CLS,D,73,2,15,17,23,54,73,81
Ryan Hartman,MIN,RW,83,12,14,26,74,145,107,39
Garnet Hathaway,WAS,RW,76,11,8,19,56,77,200,36
Erik Haula,CAR,C,15,2,5,7,10,26,11,6
Jayce Hawryluk,FLA,C,42,7,5,12,16,35,101,25
John Hayden,NJ,C,54,3,2,5,27,42,97,23
Kevin Hayes,PHI,C,71,19,36,55,12,156,58,15
Dillon Heatherington,DAL,D,5,0,1,1,0,5,6,2
Victor Hedman,TB,D,70,12,42,54,44,182,59,97
Tim Heed,SJ,D,37,2,11,13,10,41,16,31
Danton Heinen,BOS,C,77,11,23,34,16,114,54,36
Miro Heiskanen,DAL,D,82,12,21,33,16,182,34,71
Darren Helm,DET,C,61,7,10,17,20,107,50,26
Matt Hendricks,FA,LW,26,0,3,3,19,23,40,8
Adam Henrique,ANH,C,82,18,24,42,24,122,78,71
Tomas Hertl,SJ,LW,77,35,39,74,18,176,53,64
Joe Hicketts,DET,D,11,0,0,0,0,16,17,27
Thomas Hickey,NYI,D,40,0,4,4,33,47,40,71
Vinnie Hinostroza,ARI,C,72,16,23,39,14,152,69,41
Roope Hintz,DAL,LW,58,9,13,22,24,99,87,36
Taro Hirose,DET,LW,10,1,6,7,2,15,1,9
Nico Hischier,NJ,C,69,17,30,47,24,160,53,44
Niklas Hjalmarsson,ARI,D,82,0,10,10,44,57,45,187
Josh Ho-Sang,NYI,RW,10,1,1,2,6,10,0,3
Mike Hoffman,FLA,LW,82,36,34,70,30,253,42,26
Nick Holden,VGK,D,61,3,12,15,14,77,104,76
Justin Holl,TOR,D,11,0,1,1,2,6,9,5
Korbinian Holzer,ANH,D,22,1,3,4,8,15,61,38
Julius Honka,DAL,D,29,0,4,4,10,38,16,31
Patric Hornqvist,PIT,RW,69,18,19,37,26,197,150,34
Bo Horvat,VAN,C,82,27,34,61,33,227,62,63
Brett Howden,NYR,C,66,6,17,23,14,74,64,47
Filip Hronek,DET,D,46,5,18,23,30,73,66,32
Jonathan Huberdeau,FLA,LW,82,30,62,92,40,226,57,45
Charles Hudon,MON,LW,32,3,2,5,16,50,73,9
Quinn Hughes,VAN,D,5,0,3,3,2,6,1,1
Brad Hunt,MIN,D,42,5,7,12,8,75,18,28
Dryden Hunt,FLA,LW,31,3,7,10,8,53,65,9
Matt Hunwick,BUF,D,14,0,2,2,4,10,6,9
Ben Hutton,FA,D,69,5,15,20,43,114,55,102
Tomas Hyka,FA,RW,17,1,3,4,2,22,6,5
Zach Hyman,TOR,RW,71,21,20,41,65,144,102,39
Alex Iafallo,LA,C,82,15,18,33,22,148,87,54
Matt Irwin,NSH,D,44,1,6,7,38,50,80,37
Joshua Jacobs,NJ,D,1,0,0,0,0,1,2,1
Mark Jankowski,CGY,C,79,14,18,32,12,99,30,56
Mattias Janmark,DAL,C,81,6,19,25,24,105,28,44
Calle Jarnkrok,NSH,C,79,10,16,26,12,106,56,22
Christian Jaros,OTT,D,61,1,9,10,27,65,110,82
Dmitrij Jaskin,FA,RW,37,2,6,8,6,48,87,14
Boone Jenner,CLS,LW,77,16,22,38,42,170,158,70
Nick Jensen,WAS,D,80,2,18,20,21,94,82,105
Jakub Jerabek,FA,D,1,0,0,0,2,1,0,1
Ryan Johansen,NSH,C,80,14,50,64,42,136,95,23
Marcus Johansson,BUF,LW,58,13,17,30,8,115,28,24
Adam Johnson,PIT,C,6,0,2,2,0,3,11,3
Erik Johnson,COL,D,80,7,18,25,38,144,124,143
Jack Johnson,PIT,D,82,1,12,13,41,86,233,147
Luke Johnson,MIN,C,15,0,1,1,8,19,31,9
Tyler Johnson,TB,C,80,29,18,47,28,163,50,32
Andreas Johnsson,TOR,LW,73,20,23,43,32,130,60,36
Ross Johnston,NYI,LW,17,1,3,4,23,12,43,1
Henri Jokiharju,BUF,D,38,0,12,12,16,62,48,37
Caleb Jones,EDM,D,17,1,5,6,6,21,20,18
Max Jones,ANH,LW,30,2,3,5,14,58,30,5
Seth Jones,CLS,D,75,9,37,46,28,184,106,133
Mathieu Joseph,TB,RW,70,13,13,26,26,95,129,14
Roman Josi,NSH,D,82,15,41,56,42,274,53,144
Tyson Jost,COL,C,70,11,15,26,14,114,48,35
Noah Juulsen,MON,D,21,1,4,5,6,22,60,39
Nazem Kadri,COL,C,73,16,28,44,43,184,85,13
Dominik Kahun,PIT,C,82,13,24,37,6,137,13,27
Vladislav Kamenev,COL,C,23,2,3,5,10,22,20,4
David Kampf,CHI,RW,63,4,15,19,14,72,39,30
Steve Kampfer,BOS,D,35,3,3,6,22,40,44,32
Evander Kane,SJ,LW,75,30,26,56,153,268,173,25
Patrick Kane,CHI,RW,81,44,66,110,22,341,21,18
Kasperi Kapanen,TOR,RW,78,20,24,44,27,174,92,19
Erik Karlsson,SJ,D,53,3,42,45,22,169,44,69
Melker Karlsson,SJ,C,79,12,4,16,26,79,67,39
William Karlsson,VGK,C,82,24,32,56,16,169,51,55
Ondrej Kase,ANH,RW,30,11,9,20,2,94,17,11
Zack Kassian,EDM,RW,79,15,11,26,102,111,191,15
Brady Keeper,FLA,D,1,0,0,0,0,1,2,1
Duncan Keith,CHI,D,82,6,34,40,70,141,42,144
Clayton Keller,ARI,C,82,14,33,47,24,200,16,21
Adrian Kempe,LA,C,81,12,16,28,50,118,86,21
Mario Kempe,LA,LW,52,4,5,9,18,57,105,30
Michal Kempny,WAS,D,71,6,19,25,60,111,84,135
Alex Kerfoot,TOR,C,78,15,27,42,38,116,22,29
Ryan Kesler,ANH,C,60,5,3,8,44,86,93,56
Phil Kessel,ARI,RW,82,27,55,82,28,215,12,18
Jujhar Khaira,EDM,C,60,3,15,18,43,64,123,33
Alex Killorn,TB,C,82,18,22,40,45,153,88,23
Bogdan Kiselevich,FA,D,32,0,8,8,12,14,49,21
Oscar Klefbom,EDM,D,61,5,23,28,16,167,44,102
John Klingberg,DAL,D,64,10,35,45,12,153,42,77
Justin Kloos,ANH,C,1,0,0,0,0,2,2,0
Corban Knight,FA,C,23,1,3,4,0,15,9,13
Slater Koekkoek,CHI,D,31,2,4,6,14,36,54,48
Mikko Koivu,MIN,C,48,8,21,29,22,89,13,32
Leo Komarov,NYI,LW,82,6,20,26,42,78,203,38
Travis Konecny,PHI,C,82,24,25,49,40,182,65,45
Anze Kopitar,LA,C,81,22,38,60,30,156,59,66
Kalle Kossila,TOR,C,8,1,0,1,4,11,5,3
